Date,Price,Open,High,Low,Vol.,Change %
2003/4/3,156.57,150.61,160.81,150.55,374.59M,3.96%
2003/3/3,150.61,148.84,155.53,144.63,414.18M,1.20%
2003/2/3,148.83,147.55,149.62,143.62,309.94M,0.87%
2003/1/3,147.55,152.67,156.36,144.32,359.99M,-3.35%
2002/12/2,152.66,153.17,154.63,150.31,348.62M,-0.33%
2002/11/2,153.17,146.94,153.69,146.26,317.40M,4.25%
2002/10/2,146.93,154.65,154.75,136.59,433.27M,-4.99%
2002/9/2,154.65,163.1,163.12,153.67,289.30M,-5.18%
2002/8/2,163.1,163.42,163.49,154.77,331.47M,-0.20%
2002/7/2,163.42,172.76,172.76,137.66,515.30M,-5.41%
2002/6/2,172.76,170.32,173.01,168.52,350.37M,1.44%
